GeneID	chr_target	start_target	end_target	chr_query	start_query	end_query
ENSG00000142599	chr1	8332397	8868921	NC_071389_1	1	14543252
ENSG00000074800	chr1	8841000	8899190	NC_071389_1	1	14756289
ENSG00000131686	chr1	8925867	8995092	NC_071389_1	1	14803681
ENSG00000197241	chr1	8982973	9046423	NC_071389_1	1	14831168
ENSG00000142583	chr1	9015106	9108478	NC_071389_1	1	14836761
ENSG00000180758	chr1	9080305	9149102	NC_071389_1	1	14863790
ENSG00000049239	chr1	9214774	9291337	NC_071389_1	1	14954654
ENSG00000171621	chr1	9272894	9389532	NC_071389_1	1	15028782
ENSG00000171612	chr1	9519465	9605173	NC_071389_1	1	15173062
ENSG00000188807	chr1	9568911	9634877	NC_071389_1	1	15200053
ENSG00000171608	chr1	9631731	9749114	NC_071389_1	1	15268766
ENSG00000171603	chr1	9708926	9843984	NC_071389_1	1	15325595
ENSG00000178585	chr1	9828276	9930336	NC_071389_1	1	15363203
ENSG00000162441	chr1	9902113	9963407	NC_071389_1	1	15408023
ENSG00000173614	chr1	9923428	10005501	NC_071389_1	1	15430420
ENSG00000162444	chr1	9977206	10036021	NC_071389_1	1	15447944
ENSG00000130939	chr1	10012832	10201239	NC_071389_1	1	15566595
ENSG00000054523	chr1	10190570	10401603	NC_071389_1	1	15724165
ENSG00000142657	chr1	10378592	10440511	NC_071389_1	1	15751259
ENSG00000175279	chr1	10410433	10462808	NC_071389_1	1	15768627
ENSG00000160049	chr1	10436522	10492529	NC_071389_1	1	15789085
ENSG00000142655	chr1	10452288	10650758	NC_071389_1	1	15917228
ENSG00000130940	chr1	10616604	10816650	NC_071389_1	1	15950462
ENSG00000120948	chr1	10992344	11050528	NC_071389_1	1	16225118
ENSG00000009724	chr1	11006523	11067239	NC_071389_1	1	16242722
ENSG00000116649	chr1	11034584	11080020	NC_071389_1	1	16252760
ENSG00000171824	chr1	11046618	11119869	NW_026527233_1	1	135705
ENSG00000198793	chr1	11086535	11282551	NW_026527233_1	1	135705
ENSG00000171819	chr1	11169355	11215981	NW_026527233_1	1	135705
ENSG00000120942	chr1	11253198	11316049	NC_071389_1	1	16264415
ENSG00000204624	chr1	11459155	11557551	NC_071389_1	1	16443385
ENSG00000116661	chr1	11617018	11675785	NC_071389_1	1	16516542
ENSG00000132879	chr1	11634375	11683327	NC_071389_1	1	16524006
ENSG00000116663	chr1	11644200	11694354	NC_071389_1	1	16532685
ENSG00000116670	chr1	11654480	11711650	NC_071389_1	1	16537310
ENSG00000162490	chr1	11671710	11745857	NC_071389_1	1	16563946
ENSG00000177674	chr1	11716084	11774802	NC_071389_1	1	16585941
ENSG00000177000	chr1	11765723	11826455	NC_071389_1	1	16624960
ENSG00000011021	chr1	11786096	11868079	NC_071389_1	1	16660404
ENSG00000175206	chr1	11825709	11868345	NC_071389_1	1	16667060
ENSG00000120937	chr1	11837464	11878945		0	0
ENSG00000116685	chr1	11899591	11946428	NC_071389_1	1	16706655
ENSG00000083444	chr1	11914205	11995538	NC_071389_1	1	16734338
ENSG00000116688	chr1	11960181	12035211	NC_071389_1	1	16765575
ENSG00000116691	chr1	11999466	12052045	NC_071389_1	1	16779509
ENSG00000120949	chr1	12043303	12164207	NC_071389_1	1	16853207
ENSG00000028137	chr1	12146991	12229228	NC_071389_1	1	16905401
ENSG00000048707	chr1	12210030	12532047	NC_071389_1	1	17140598
ENSG00000162496	chr1	12547910	12638210	NC_071389_1	1	17215865
ENSG00000188984	chr1	12696110	12748760	NC_071389_1	1	17289099
ENSG00000157330	chr1	12726200	12783699	NC_071389_1	1	17346860
ENSG00000239810	chr1	12804605	12851410	NC_071389_1	1	17354235
ENSG00000120952	chr1	12837086	12881909	NC_071393_1	3725385	23728246
ENSG00000243073	chr1	12859212	12906201	NC_071389_1	1	17354235
ENSG00000232423	chr1	12918472	12967580	NC_071389_1	1	17354235
ENSG00000280267	chr1	13128905	13175961	NC_071389_1	1	17354235
ENSG00000204505	chr1	13151848	13199459	NC_071389_1	1	17354235
ENSG00000182330	chr1	13261035	13305174	NC_071389_1	1	17354235
ENSG00000204481	chr1	13321892	13367134	NC_071389_1	1	17354193
ENSG00000204480	chr1	13349067	13391900	NC_071393_1	3725385	23728207
ENSG00000204478	chr1	13396351	13441328	NC_071389_1	1	17354172
ENSG00000162494	chr1	13454973	13534003	NC_071389_1	1	17392859
ENSG00000162493	chr1	13563465	13637957	NC_071389_1	1	17451503
ENSG00000116731	chr1	13680198	13845079	NC_071389_1	1	17607963
ENSG00000189337	chr1	13872792	15138043	NC_071389_1	1	18504516
ENSG00000171729	chr1	15132532	15240478	NC_071389_1	1	18574938
ENSG00000142621	chr1	15216521	15420283	NC_071389_1	1	18705350
ENSG00000142634	chr1	15389888	15450339	NC_071389_1	1	18728449
ENSG00000162438	chr1	15418442	15469242	NC_071389_1	1	18738737
ENSG00000142615	chr1	15436728	15492091	NC_071389_1	1	18754660
ENSG00000215704	chr1	15445909	15511395	NC_071389_1	1	18754660
ENSG00000132906	chr1	15470832	15546534	NC_071389_1	1	18773293
ENSG00000116138	chr1	15506813	15612379	NC_071389_1	1	18795221
ENSG00000116771	chr1	15551699	15605051	NC_071389_1	1	18806916
ENSG00000197312	chr1	15597458	15689044	NC_071389_1	1	18849193
ENSG00000215695	chr1	15639869	15681722	NC_071389_1	1	18854048
ENSG00000116786	chr1	15664320	15754769	NC_071389_1	1	18902364
ENSG00000162461	chr1	15716258	15761392	NC_071389_1	1	18907422
ENSG00000162460	chr1	15722499	15767982	NC_071389_1	1	18912936
ENSG00000162458	chr1	15736607	15806594	NC_071389_1	1	18937209
ENSG00000065526	chr1	15816095	15960456	NC_071389_1	1	19052751
ENSG00000116809	chr1	15921869	15996132	NC_071389_1	1	19061708
ENSG00000183888	chr1	15984236	16028807	NC_071389_1	1	19084349
ENSG00000173641	chr1	15994028	16039594	NC_071389_1	1	19097548
ENSG00000186510	chr1	15998875	16054050	NC_071389_1	1	19110681
ENSG00000184908	chr1	16020252	16077311	NC_071389_1	1	19110681
ENSG00000185519	chr1	16037769	16093651	NC_071389_1	1	19115653
ENSG00000142627	chr1	16104337	16176069	NC_071389_1	1	19191866
ENSG00000142632	chr1	16177854	16232652	NC_071389_1	1	19233568
ENSG00000132881	chr1	16211692	16257183	NC_071389_1	1	19247583
ENSG00000037637	chr1	16226840	16372480	NC_071389_1	1	19301591
ENSG00000055070	chr1	16332575	16418145	NC_071389_1	1	19365155
ENSG00000187144	chr1	16367117	16457424	NC_071389_1	1	19383958
ENSG00000157191	chr1	16420721	16480078	NC_071389_1	1	19413454
ENSG00000058453	chr1	16720273	16992964	NC_071389_1	1	19462645
ENSG00000117122	chr1	16954502	17000632	NC_071389_1	1	19468332
ENSG00000159363	chr1	16965958	17031928	NC_071389_1	1	19487852
ENSG00000117118	chr1	16998722	17074032	NC_071389_1	1	19511551
ENSG00000117115	chr1	17046761	17139451	NC_071389_1	1	19573972
ENSG00000142623	chr1	17185128	17266007	NC_071389_1	1	19661784
ENSG00000142619	chr1	17229098	17304233	NC_071389_1	1	19690915
ENSG00000159339	chr1	17288195	17384004	NC_071389_1	1	19723444
ENSG00000276747	chr1	17352196	17421699	NC_071389_1	1	19747503
ENSG00000179051	chr1	17386760	17459677	NC_071389_1	1	19771259
ENSG00000074964	chr1	17519698	17717874	NC_071389_1	1	19955725
ENSG00000117148	chr1	17735333	17847063	NC_071389_1	39756	20042662
ENSG00000117154	chr1	18087798	18398483	NC_071389_1	245622	20473294
ENSG00000179023	chr1	18460930	18505974	NC_071389_1	542757	20545129
ENSG00000009709	chr1	18610846	18768866	NC_071389_1	648735	20742460
ENSG00000179002	chr1	18819599	18879682	NC_071389_1	811668	20817541
ENSG00000159423	chr1	18851430	18922724	NC_071389_1	825439	20847701
ENSG00000169991	chr1	18884280	18976676	NC_071389_1	853591	20894896
ENSG00000127481	chr1	19054510	19230266	NC_071389_1	980074	21098145
ENSG00000127463	chr1	19195660	19271527	NC_071389_1	1108274	21130520
ENSG00000053372	chr1	19231805	19280128	NC_071389_1	1130843	21135858
ENSG00000211454	chr1	19245982	19294194	NC_071389_1	1136862	21142895
ENSG00000053371	chr1	19283965	19332144	NC_071389_1	1136862	21143021
ENSG00000040487	chr1	19292326	19349300	NC_071389_1	1148348	21156385
ENSG00000077549	chr1	19318775	19505539	NC_071389_1	1164709	21287289
ENSG00000173436	chr1	19464403	19649821	NC_071389_1	1373091	21374253
ENSG00000158747	chr1	19576979	19678456	NC_071389_1	1389673	21400770
ENSG00000158748	chr1	19644875	19700966	NC_071389_1	1408391	21418426
ENSG00000162542	chr1	19662240	19819945	NC_071389_1	1420930	21487028
ENSG00000178828	chr1	19794029	19835283	NC_071389_1	1511668	21512363
ENSG00000169914	chr1	19862395	19932945	NC_071389_1	1547244	21565031
ENSG00000188784	chr1	19900009	19943617	NC_071389_1	1575280	21578272
ENSG00000188257	chr1	19955431	20000416	NC_071389_1	1608834	21611744
ENSG00000127472	chr1	20008179	20111911	NC_071389_1	1639936	21643696
ENSG00000117215	chr1	20091939	20139566	NC_071389_1	1665148	21667696
ENSG00000158786	chr1	20119323	20170381	NC_071389_1	1679163	21686812
ENSG00000187980	chr1	20141253	20206518	NC_071389_1	1695230	21705576
ENSG00000162543	chr1	20166096	20216050	NC_071389_1	1717944	21718789
ENSG00000158816	chr1	20270875	20379518	NC_071389_1	1810262	21848802
ENSG00000162545	chr1	20462391	20506210	NC_071389_1	1945339	21946996
ENSG00000090432	chr1	20479448	20528151	NC_071389_1	1962012	21967266
ENSG00000183114	chr1	20532573	20575020	NC_071389_1	1990903	21991889
ENSG00000158825	chr1	20569086	20638903	NC_071389_1	2014407	22034811
ENSG00000158828	chr1	20613458	20671511	NC_071389_1	2044634	22057613
ENSG00000244038	chr1	20631767	20681544	NC_071389_1	2059420	22067402
ENSG00000117245	chr1	20644014	20738017	NC_071389_1	2069943	22108615
ENSG00000189410	chr1	20699731	20752837	NC_071389_1	2111947	22117992
ENSG00000127483	chr1	20720266	20807323	NC_071389_1	2150641	22161733
ENSG00000075151	chr1	20786292	21196888	NC_071389_1	2182918	22454262
ENSG00000117298	chr1	21197247	21365572	NC_071389_1	2479597	22526621
ENSG00000142794	chr1	21420128	21505005		0	0
ENSG00000162551	chr1	21489397	21598410	NC_071389_1	2658125	22676404
ENSG00000076864	chr1	21576215	21689363	NC_071389_1	2691310	22718478
ENSG00000090686	chr1	21658298	21803606	NC_071389_1	2761468	22830724
ENSG00000142798	chr1	21802244	21957310	NC_071389_1	2858252	22923141
ENSG00000219073	chr1	21957022	22018642	NC_071389_1	2984644	22991057
ENSG00000142789	chr1	21981657	22032542	NC_071389_1	2984644	22991057
ENSG00000070831	chr1	22005511	22121360	NC_071389_1	3038500	23056408
ENSG00000162552	chr1	22097313	22163969	NC_071389_1	3082984	23106361
ENSG00000184677	chr1	22408838	22551157	NC_071389_1	3366254	23398413
ENSG00000070886	chr1	22543489	22623595	NC_071389_1	3424746	23456076
ENSG00000173372	chr1	22616628	22659678	NC_071389_1	3482233	23483938
ENSG00000159189	chr1	22623633	22668110	NC_071389_1	3487702	23491512
ENSG00000173369	chr1	22632762	22681637	NC_071389_1	3498933	23500848
ENSG00000133216	chr1	22690839	22941500	NC_071389_1	3537193	23706410
ENSG00000215906	chr1	22933043	22985338	NC_071389_1	3721172	23732036
ENSG00000227868	chr1	22990834	23035852	NC_071389_1	3745515	23747510
ENSG00000004487	chr1	22999443	23103689	NC_071389_1	3751807	23805101
ENSG00000169641	chr1	23064023	23197808	NC_071389_1	3810372	23815106
ENSG00000179546	chr1	23171895	23237502	NC_071389_1	3901208	23902341
ENSG00000125944	chr1	23283771	23364336	NC_071389_1	3977936	24006121
ENSG00000125945	chr1	23339448	23389836	NC_071398_1	41032029	62215267
ENSG00000204219	chr1	23360909	23444748	NC_071389_1	4020804	24051404
ENSG00000088280	chr1	23408563	23504568	NC_071389_1	4058828	24100725
ENSG00000007968	chr1	23486438	23551233	NC_071389_1	4113418	24129410
ENSG00000117318	chr1	23537926	23579501	NC_071389_1	4148512	24148991
ENSG00000142676	chr1	23671742	23716835	NC_071389_1	4219718	24223726
ENSG00000011007	chr1	23723155	23782059	NC_071389_1	4244156	24258549
ENSG00000057757	chr1	23758418	23808232	NC_071389_1	4267488	24273949
ENSG00000011009	chr1	23771145	23815539	NC_071389_1	4278268	24280355
ENSG00000117308	chr1	23775599	23820781	NC_071389_1	4281554	24284006
ENSG00000117305	chr1	23781885	23858620	NC_071389_1	4287220	24299004
ENSG00000179163	chr1	23825077	23888290	NC_071389_1	4302661	24316573
ENSG00000188822	chr1	23850515	23933362	NC_071389_1	4322564	24323628
ENSG00000189266	chr1	23936839	23983462	NC_071397_1	35166837	55167265
ENSG00000188529	chr1	23944347	24000927	NC_071397_1	35178752	55184608
ENSG00000142661	chr1	24036035	24132135	NC_071389_1	4429258	24470221
ENSG00000142677	chr1	24099771	24163140	NC_071389_1	4479609	24493421
ENSG00000185436	chr1	24134168	24207959	NC_071389_1	4503125	24520924
ENSG00000158055	chr1	24299357	24384482	NC_071389_1	4619877	24640592
ENSG00000001460	chr1	24336999	24436934	NC_071389_1	4644841	24679941
ENSG00000001461	chr1	24395802	24492976	NC_071389_1	4687289	24713330
ENSG00000117602	chr1	24482351	24561040	NC_071389_1	4731798	24751062
ENSG00000184454	chr1	24536087	24629328	NC_071389_1	4801899	24808851
ENSG00000133226	chr1	24611716	24693281	NC_071389_1	4826340	24852658
ENSG00000169504	chr1	24725382	24864321	NC_071389_1	4891996	24950514
ENSG00000020633	chr1	24879511	24985121	NC_071389_1	4991766	25049972
ENSG00000117614	chr1	25202276	25252502	NC_071389_1	5240369	25248260
ENSG00000117616	chr1	25222249	25358213	NC_071389_1	5253903	25257744
ENSG00000187010	chr1	25252393	25350445	NC_071389_1	5297514	25330676
ENSG00000183726	chr1	25318317	25382361	NC_071389_1	5280777	25295488
ENSG00000188672	chr1	25342249	25450192	NC_071389_1	5297591	25330676
ENSG00000204178	chr1	25410858	25520209	NC_071389_1	5341416	25397403
ENSG00000157978	chr1	25523606	25588886	NC_071389_1	5429342	25449569
ENSG00000117643	chr1	25596791	25806206	NC_071389_1	5489050	25616289
ENSG00000162430	chr1	25780193	25838221	NC_071389_1	5623355	25635977
ENSG00000117640	chr1	25798640	25852942	NC_071389_1	5643102	25650916
ENSG00000127423	chr1	25811913	25879458	NC_071389_1	5650977	25662762
ENSG00000182749	chr1	25841484	25895708	NC_071389_1	5664921	25665961
ENSG00000117632	chr1	25864181	25926991	NC_071389_1	5692666	25701851
ENSG00000158006	chr1	25939767	26018117	NC_071389_1	5747769	25769584
ENSG00000158008	chr1	25999884	26056464	NC_071389_1	5792004	25803856
ENSG00000158014	chr1	26017252	26066118	NC_071389_1	5808273	25814575
ENSG00000158022	chr1	26031301	26088436	NC_071389_1	5820313	25829996
ENSG00000175087	chr1	26091165	26145555	NC_071389_1	5866625	25871391
ENSG00000197245	chr1	26139079	26183962	NC_071389_1	5893558	25894382
ENSG00000282872	chr1	26144101	26188963	NC_071389_1	5895860	25899137
ENSG00000236782	chr1	26149516	26191831	NC_071389_1	5901810	25902274
ENSG00000142684	chr1	26149908	26190873	NC_071389_1	5900656	25901328
ENSG00000142675	chr1	26157484	26209884	NC_071389_1	5905735	25914939
ENSG00000188782	chr1	26170561	26222968	NC_071389_1	5924852	25929170
ENSG00000130695	chr1	26214200	26298808	NC_071389_1	5956506	25979648
ENSG00000142669	chr1	26260086	26301522	NC_071389_1	5982450	25983420
ENSG00000158062	chr1	26261328	26338363	NC_071389_1	5982512	26001837
ENSG00000169442	chr1	26297958	26340523	NC_071389_1	82024935	102024970
ENSG00000176092	chr1	26301698	26380080	NC_071389_1	6016173	26043984
ENSG00000176083	chr1	26341634	26394522	NC_071389_1	6045423	26050954
ENSG00000131914	chr1	26390817	26449728	NC_071389_1	6079120	26090436
ENSG00000117682	chr1	26412282	26491306	NC_071389_1	6095538	26118761
ENSG00000198830	chr1	26452440	26496642	NC_071389_1	6122077	26124865
ENSG00000117676	chr1	26509761	26595030	NC_071389_1	6165237	26201832
ENSG00000117713	chr1	26673236	26802104	NC_071389_1	6288645	26357227
ENSG00000060642	chr1	26767054	26820659	NC_071389_1	6368587	26374911
ENSG00000204160	chr1	26806688	26877604	NC_071389_1	6384868	26409079
ENSG00000175793	chr1	26843149	26884456	NC_071389_1	6417331	26418077
ENSG00000142751	chr1	26856132	26910283	NC_071389_1	6427146	26434457
ENSG00000198746	chr1	26870488	26920467	NC_071389_1	6435423	26441518
ENSG00000090273	chr1	26880238	26966871	NC_071389_1	6460691	26472799
ENSG00000131910	chr1	26891489	26933975	NC_071389_1	6449799	26451742
ENSG00000175707	chr1	26929562	26980468	NC_071389_1	6475302	26477527
ENSG00000253368	chr1	26973692	27020886	NC_071389_1	6504301	26504996
ENSG00000158246	chr1	26985020	27032850	NC_071389_1	6514688	26520574
ENSG00000090020	chr1	27078809	27186981	NC_071389_1	6572915	26617025
ENSG00000142784	chr1	27214632	27328636	NC_071389_1	6691310	26711380
ENSG00000186501	chr1	27302145	27356400	NC_071389_1	6722726	26733751
ENSG00000142765	chr1	27322020	27373937	NC_071389_1	6740802	26747031
ENSG00000142733	chr1	27334067	27386961	NC_071389_1	6747483	26758190
ENSG00000174950	chr1	27359176	27403333	NC_071389_1	6767681	26770761
ENSG00000181773	chr1	27372622	27415814	NC_071389_1	6779833	26780825
ENSG00000158195	chr1	27384230	27510167	NC_071389_1	6792707	26809381
ENSG00000126705	chr1	27514035	27624431	NC_071389_1	6899953	26904752
ENSG00000000938	chr1	27592064	27655185	NC_071389_1	6960646	26970446
ENSG00000009780	chr1	27705961	27783116	NC_071389_1	7030148	27049400
ENSG00000117758	chr1	27753219	27844443	NC_071389_1	7055798	27088842
ENSG00000117751	chr1	27810782	27871676	NC_071389_1	7096028	27111468
ENSG00000130775	chr1	27852543	27906685	NC_071389_1	7133189	27147660
ENSG00000117748	chr1	27871524	27934746	NC_071387_1	103339657	123340466
ENSG00000117748	chr1	27871524	27934746	NC_071389_1	7152344	27167416
ENSG00000130768	chr1	27915000	27979157	NC_071389_1	7189372	27199958
ENSG00000158156	chr1	27939588	27988093	NC_071389_1	7200822	27206246
ENSG00000158161	chr1	27950344	28108637	NC_071389_1	7213341	27270319
ENSG00000169403	chr1	28127166	28213936	NC_071389_1	7343477	27344505
ENSG00000126698	chr1	28179456	28253029	NC_071389_1	7378992	27402201
ENSG00000130770	chr1	28216109	28266906	NC_071389_1	7404491	27406337
ENSG00000130766	chr1	28239518	28302491	NC_071389_1	7423482	27439188
ENSG00000130772	chr1	28309002	28355965	NC_071389_1	7468276	27468830
ENSG00000204138	chr1	28349582	28520364	NC_071389_1	7528604	27566034
ENSG00000180198	chr1	28485943	28559300	NC_071389_1	7589686	27595773
ENSG00000180098	chr1	28533085	28598545	NC_071389_1	7599710	27615532
ENSG00000120656	chr1	28569323	28663085	NC_071389_1	7631825	27646155
ENSG00000188060	chr1	28572200	28615449	NC_071389_1	7625811	27627216
ENSG00000162419	chr1	28648778	28739353	NC_071389_1	7681720	27699197
ENSG00000198492	chr1	28716621	28789775	NC_071389_1	7713766	27719581
ENSG00000116329	chr1	28792142	28891267	NC_071389_1	7772412	27802425
ENSG00000159023	chr1	28867091	29140046	NC_071389_1	7893892	27986163
ENSG00000253304	chr1	29099429	29143903	NC_071389_1	7990581	27991504
ENSG00000116350	chr1	29127743	29201900	NC_071389_1	8007786	28031299
ENSG00000116353	chr1	29172657	29250942	NC_071389_1	8037152	28064161
ENSG00000060656	chr1	29216516	29346813	NC_071389_1	8070906	28146501
ENSG00000162510	chr1	30691277	30743585	NC_071389_1	8936119	28945320
ENSG00000162511	chr1	30712469	30777774	NC_071389_1	8956081	28979298
ENSG00000162512	chr1	30849466	30928758	NC_071389_1	9068616	29101296
ENSG00000134644	chr1	30911506	31085991	NC_071389_1	9113959	29229444
ENSG00000084628	chr1	31159745	31259887	NC_071389_1	9309499	29349162
ENSG00000060688	chr1	31239568	31316788	NC_071389_1	9359371	29382633
ENSG00000121766	chr1	31276982	31384953	NC_071389_1	9391588	29432863
ENSG00000121769	chr1	31345253	31396850	NC_071389_1	9434566	29441255
ENSG00000168528	chr1	31389565	31454680	NC_071389_1	9467468	29484575
ENSG00000142910	chr1	31556485	31607686	NC_071389_1	9549627	29558698
ENSG00000121764	chr1	31597686	31652518	NC_071389_1	9583421	29590781
ENSG00000162517	chr1	31609866	31664896	NC_071389_1	9594250	29609435
ENSG00000084636	chr1	31632263	31724319	NC_071389_1	9616787	29663381
ENSG00000121753	chr1	31707117	31784893	NC_071389_1	9684348	29712845
ENSG00000134668	chr1	31770422	31836051	NC_071389_1	9743797	29764344
ENSG00000184007	chr1	31886421	31964856	NC_071389_1	9820432	29831070
ENSG00000121774	chr1	31993868	32080850	NC_071389_1	9899362	29922751
